,owner_1_score,RATE_owner_1,CAP_AMOUNT_owner_1,PERCENT_OWN_owner_1,years_in_business,RATE_ID_FOR_years_in_business,fsr,INPUT_VALUE_ID_FOR_num_negative_days,RATE_ID_FOR_num_negative_days,INPUT_VALUE_ID_FOR_num_deposits,RATE_ID_FOR_num_deposits,INPUT_VALUE_ID_FOR_monthly_gross,INPUT_VALUE_ID_FOR_average_ledger,INPUT_VALUE_ID_FOR_fc_margin,INPUT_VALUE_ID_FOR_current_position,INPUT_VALUE_ID_FOR_avg_net_deposits,INPUT_VALUE_owner_4,RATE_owner_4,CAP_AMOUNT_owner_4,PERCENT_OWN_owner_4,deal_application_thread_id,completion_status,PCA
275,717.0,0,150000.0,100.0,6.17,0,34.0,0.5,0,90.5,0,142502.75,45589.75,0.32,1.0,142502.75,717.0,0,150000.0,100.0,3155,3,0.011935799120148713
276,738.0,0,150000.0,100.0,32.54,0,31.0,0.0,0,7.25,3,218328.75,59458.0,0.27,0.0,218328.75,738.0,0,150000.0,100.0,3505,0,0.04549829681288559
277,573.0,2,35000.0,100.0,11.43,0,18.0,1.0,0,57.66666667,0,119874.0,14606.33333,0.12,1.0,119874.0,573.0,2,35000.0,100.0,7085,1,-0.12435616312466524
278,663.0,0,150000.0,100.0,25.08,0,82.33333333333333,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,663.0,0,150000.0,100.0,6411,2,-0.16760650918189007
279,612.0,0,150000.0,100.0,6.02,0,80.0,0.75,0,25.0,0,90970.535,14522.0,0.16,2.0,90970.535,612.0,0,150000.0,100.0,569,1,-0.014856049504373102
280,683.0,0,150000.0,100.0,9.73,0,89.0,0.0,0,40.0,0,595805.3333,11408.0,0.02,0.0,595805.3333,683.0,0,150000.0,100.0,5981,2,0.14696051118361023
281,503.0,2,35000.0,100.0,17.76,0,2.6666666666666665,0.25,0,4.5,3,99200.5,7020.0,0.07,2.0,99200.5,503.0,2,35000.0,100.0,503,3,-0.130919640976934
282,667.0,0,150000.0,100.0,8.33,0,79.0,0.0,0,70.625,0,54977.75,25483.19875,0.46,0.0,54977.75,667.0,0,150000.0,100.0,7875,1,-0.014455730675447307
283,517.0,2,35000.0,100.0,39.36,0,74.0,0.0,0,7.0,3,27590.59667,3467.333333,0.13,1.0,27590.59667,517.0,2,35000.0,100.0,5998,1,-0.15220109836426782
284,555.3333333333334,5,73333.33333333333,100.0,16.48,0,45.333333333333336,3.0,2,42.75,0,0.0,6067.8925,0.0,2.0,0.0,0.0,5,73333.33333333333,100.0,202,1,-0.2540339218128934
285,620.0,0,150000.0,100.0,7.9,0,74.0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,620.0,0,150000.0,100.0,2982,1,-0.16785019568464027
286,616.0,0,150000.0,80.0,20.75,0,69.0,0.5,0,84.0,0,52337.25,3688.25,0.07,2.0,52337.25,615.0,0,150000.0,100.0,1971,2,-0.019236905819137055
287,762.0,0,150000.0,100.0,3.74,0,47.0,0.125,0,11.75,0,129457.0,25519.125,0.2,1.0,129457.0,762.0,0,150000.0,100.0,5297,1,0.008299352262793309
288,676.0,0,150000.0,70.0,2.96,0,28.0,0.0,0,13.75,1,30491.78,22747.2225,0.75,0.0,30491.78,658.0,0,150000.0,100.0,8337,1,-0.027265501824617927
289,598.0,1,100000.0,100.0,6.68,0,92.0,0.0,0,32.25,0,182395.6925,65517.5,0.36,0.0,182395.6925,598.0,1,100000.0,100.0,4538,1,-0.032806540746432855
290,560.0,1,100000.0,100.0,3.82,0,12.0,0.0,0,31.0,0,26898.09167,3703.456667,0.14,1.0,26898.09167,560.0,1,100000.0,100.0,4107,1,-0.07940587704542998
291,614.0,0,150000.0,100.0,16.09,0,31.0,0.25,0,30.0,0,17623.5,4500.0,0.26,1.0,17623.5,614.0,0,150000.0,100.0,1911,1,-0.025898633286432732
292,641.0,0,150000.0,100.0,8.92,0,70.0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,641.0,0,150000.0,100.0,3301,1,-0.16773118599725062
293,623.0,0,150000.0,100.0,4.83,0,85.0,0.0,0,56.0,0,68113.33333,3257.333333,0.05,2.0,68113.33333,622.0,0,150000.0,150.0,3550,1,-0.0031581309470200694
294,606.0,0,150000.0,100.0,9.41,0,4.666666666666667,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,606.0,0,150000.0,100.0,4615,0,-0.16792953547623335
295,666.0,0,150000.0,100.0,3.776666666666667,4,28.0,0.0,0,14.5,0,65731.5,42818.75,0.65,2.0,65731.5,0.0,5,150000.0,0.0,2211,0,-0.026510997818823476
296,696.0,0,150000.0,100.0,8.86,0,6.0,0.0,0,25.4,0,91694.4,28085.2,0.31,1.0,91694.4,696.0,0,150000.0,100.0,549,2,-0.01416408624254888
297,636.0,0,150000.0,100.0,2.28,0,18.0,1.5,1,69.5,0,62348.64,1125.7,0.02,2.0,62348.64,636.0,0,150000.0,100.0,5328,1,-0.012432720134856178
298,544.0,2,35000.0,100.0,4.94,0,18.0,3.25,2,5.75,3,53294.225,5919.5,0.11,1.0,53294.225,544.0,2,35000.0,100.0,3792,0,-0.14438085042921311
299,600.0,0,150000.0,51.0,4.81,0,20.666666666666668,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,623.0,0,150000.0,100.0,4443,0,-0.17703957936571893
300,667.0,0,150000.0,100.0,8.79,0,71.0,0.25,0,4.75,3,30760.0,12656.5,0.41,0.0,30760.0,667.0,0,150000.0,100.0,4638,1,-0.010854682799103737
301,632.0,1,100000.0,100.0,9.55,0,42.0,0.0,0,25.33333333,0,14903.66667,1323.333333,0.09,0.0,14903.66667,632.0,1,100000.0,100.0,7616,2,-0.0825757076155604
302,584.0,1,100000.0,100.0,7.83,0,35.0,0.2,0,29.2,0,78056.4,13122.656,0.17,2.0,78056.4,584.0,1,100000.0,100.0,4105,0,-0.06400965478213268
303,663.0,0,150000.0,100.0,1.68,1,85.0,0.75,0,17.75,0,117634.75,10323.5675,0.09,1.0,117634.75,663.0,0,150000.0,100.0,2858,1,0.004211801561471202
304,677.0,0,150000.0,100.0,0.75,2,29.0,0.5,0,35.75,0,92250.25,9163.98,0.1,1.0,92250.25,677.0,0,150000.0,100.0,3381,0,-0.003280900093349853
305,623.0,0,150000.0,100.0,4.83,0,85.0,0.0,0,56.0,0,68113.33333,3257.333333,0.05,2.0,68113.33333,623.0,0,150000.0,100.0,3550,1,-0.010786819955971009
306,614.0,0,150000.0,100.0,12.31,0,22.0,0.0,0,34.33333333,0,45551.43667,8615.893333,0.19,1.0,45551.43667,614.0,0,150000.0,100.0,5326,2,-0.017567900202146287
307,594.0,1,100000.0,100.0,31.22,0,36.0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,594.0,1,100000.0,100.0,4245,0,-0.22396531395936237
308,505.0,5,35000.0,100.0,6.84,0,21.333333333333332,0.666666667,0,16.66666667,0,109106.0,7333.333333,0.07,1.0,109106.0,0.0,5,35000.0,0.0,1977,2,-0.14321093453512973
309,640.0,0,150000.0,100.0,5.27,0,57.0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,640.0,0,150000.0,100.0,2194,1,-0.16773685312522157
310,616.0,0,150000.0,100.0,9.24,0,91.0,0.0,0,30.0,0,23536.66667,9333.333333,0.4,0.0,23536.66667,616.0,0,150000.0,100.0,6333,3,-0.02412343749668895
311,674.0,0,150000.0,100.0,0.74,2,47.333333333333336,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,674.0,0,150000.0,100.0,1807,2,-0.16754417077420977
